,address,lat,lon
1,"3F ENERPRO BLG 1181 LEVERIZA ST COR PRES QUIRINO MALATE, MANILA",14.61347,120.963034
2,2F HARBOR CTR II RAILROAD & CH ICAGO STS PORT AREA ,14.590555,120.965992
3,"2FHARBOR CTR II RAILROAD SOUTH HARBOR PORT AREA PORT AREA, MANILA",14.590555,120.965992
4,2F HARBOR CTR II RAILROAD & CHICAGO SOUTH HARBOR MANILA,14.590555,120.965992
5,2F HARBOR CTR II RAIL ROAD ST CHICAGO ST PORT AREA MANILA,14.591022,120.966486
6,"RMS 301, 301-A & STOCKROOM 1, MMS BACOOR BLDG, OLD BACOOR CITY, CAVITE",14.427602,120.966749
7,"RMS 304, 304-A & STOCKROOM 3, 3/F, MMS BACOOR BLDG BACOOR CITY, CAVITE",14.427602,120.966749
8,"3F CHAMP BLG BONIFACIO DRIVE PORT AREA, MANILA",14.591072,120.970173
9,"RM 310, 3/F, EAST WING, VELCO CENTRE, R. OCA COR A PORT AREA, MANILA",14.586413,120.970797
10,"UPL BLDG STA CLARA ST INTRAMUROS, MANILA",14.592322,120.971696
11,"G/F PLAZA SANTIAGO BLDG STA CLARA ST MANILA INTRAMUROS, MANILA",14.592285,120.971727
12,"290 CASA ROCHA BLDG 290-292 GEN LUNA STREET INTRAMUROS, MANILA",14.592565,120.972463
13,"5/F, DELGADO BLG, 637 BONIFACIO DRIVE,SOUTH HARBOR PORT AREA, MANILA",14.587321,120.972572
14,"EASTERN SHIPPING LINES BUILDING ANDA CIRCLE PORT AREA, MANILA",14.58736,120.972862
15,"2/F MARY BACHRACH BLDG 25TH ST COR A C DELGADO ST PORT AREA, MANILA",14.584651,120.973528
16,"2/F, MARY BACHRACH BDG, 25TH ST COR A. C. DELGADO  PORT AREA, MANILA",14.584651,120.973528
17,"RMS 303, 303-A, 303-B AND STOCKROOM 2, MMS BACOOR  BACOOR CITY, CAVITE",14.412993,120.973679
18,"G/F & 2/F CITADEL BLDG 637 BONIFACIO DRIVE PORT AREA, MANILA",14.585024,120.973852
19,"RM 303 UNIT F, ECJ BLDG, REAL COR STA. LUCIA STS INTRAMUROS, MANILA",14.588987,120.973919
20,"ROOM 302 D ECJ BUILDING REAL STREET INTRAMUROS, MANILA",14.588988,120.973935
21,"GF,2F &3F, PALACIO GRANDE, GEN LUNA COR ANDA INTRAMUROS, MANILA",14.590493,120.974026
22,2F DELGADO BLDG #637 BONIFACIO DRIVE PORT AREA MANILA,14.585009,120.974029
23,3F DELGADO BLDG. 637 BONIFACIO DRIVE PORT AREA MANILA,14.585009,120.974029
24,"3F DELGADO BLDG BONIFACIO DRIVE MANILA PORT AREA, MANILA",14.585009,120.974029
25,"RM 411, BF CONDOMINIUM BLG, A SORIANO AVE COR SOLA INTRAMUROS, MANILA",14.593345,120.974103
26,"G/F MAR BACHRACH BLDG 25TH ST PORT AREA, MANILA",14.584608,120.974119
27,"GF VILLA BLANCA ANNEX BLDG CABILDO COR BEATERIO ST INTRAMUROS, MANILA",14.591283,120.974195
28,"VILLA BLANCA BLDG, CABILDO COR BEATERIO STREETS INTRAMUROS, MANILA",14.591304,120.974205
29,"GEN LUNA COR STA POTENCIANA ST INTRAMUROS MANILA INTRAMUROS, MANILA",14.592185,120.974724
30,"U3301-3307(33F) & U3401-3407(34F) WORLD TRADE EXCH BINONDO, MANILA",14.597383,120.974869
31,"G/F CASA MARITIMA 651 GEN. LUNA ST INTRAMUROS, MANILA",14.588905,120.975311
32,"G/F CASA MARITIMA 651 GEN LUNA ST INTRAMUROS, MANILA",14.588905,120.975311
33,"WALLEM PHILS BLDG LEGASPI COR BEATERIO INTRAMUROS, MANILA",14.592835,120.97578
34,"4/F WALLEM PHILS BLDG BEATERIO LEGASPI INTRAMUROS, MANILA",14.592835,120.97578
35,"S-502 BEL AIR APT 1020 ROXAS BLVD ERMITA, MANILA",14.57948,120.977879
36,"U204 BEL-AIR APT., 1020 ROXAS BLVD MANILA",14.57948,120.977879
37,"S601 & 603 BEL-AIR APT. 1020 ROXAS BLVD. ERMITA, MANILA",14.57948,120.977879
38,"RM 103 BEL-AIR APT BLG,1020 ROXAS BLVD ERMITA, MANILA",14.57948,120.977879
39,"25 MA ASUNCION SPIRIG ST BF RESORT VILL LAS PINAS PAMPLONA, LAS PI?AS",14.439771,120.977883
40,"3/F VICTORIA BLDG 429 UN AVE ERMITA, MANILA",14.579447,120.978648
41,"CREWCARE BLDG, 415 U.N. AVENUE COR ALHAMBRA ST ERMITA, MANILA",14.579321,120.978784
42,"RMS 504 505 506 & 507 VIP BLDG ROXAS BLVD ERMITA, MANILA",14.578018,120.978915
43,"RMS 204,205,206 & 208, VIP BLDG, ROXAS BLVD COR NU ERMITA, MANILA",14.578018,120.978915
44,"S502 5/F MA NATIVIDAD BDG 470 TM KALAW COR CORTADA ERMITA, MANILA",14.58012,120.979171
45,"SUITE 901, 9F, MA NATIVIDAD BLDG, 470 T M KALAW CO ERMITA, MANILA",14.580564,120.979196
46,"SUITE 1101, 11/F, MA. NATIVIDAD BLDG, 470 T.M. KAL ERMITA, MANILA",14.58051,120.979249
47,"S601 MA NATIVIDAD BLG 470 TM KALAW COR CORTADA ST ERMITA, MANILA",14.58051,120.979249
48,"12F MA. NATIVIDAD BLG, 470 TM KALAW COR CORTADA ST ERMITA, MANILA",14.58051,120.979249
49,"SUITE 1001, 10/F, MA. NATIVIDAD BLDG, 470 T.M. KAL ERMITA, MANILA",14.58051,120.979249
50,"4/F, FERGUSON TOWER BLG, 1125 M H DEL PILAR ST ERMITA, MANILA",14.578959,120.979319
51,"R702&704,7F S&L BLG.1500 ROXAS BLVD., ERMITA, MANILA",14.577944,120.979334
52,"RMS 406 &410, 1ST UNITED BLG. CORP, 413 ESCOLTA ST BINONDO, MANILA",14.598828,120.979342
53,"7/F FERGUSON PARK TOWER MH DEL PILAR COR. A FLORES ERMITA, MANILA",14.578927,120.979509
54,"RM 302, 3F, TRAVELLERS LIFE BLG, 490 T M KALAW ST ERMITA, MANILA",14.580754,120.97957
55,"UNITS 703-713 DE LEON CENTER MH DEL PILAR ST., ERMITA, MANILA",14.578381,120.979577
56,"U4 11/F PEARL OF THE ORIENT TWR 1318 RXS BLVD ERMITA, MANILA",14.577013,120.979626
57,"U-802&803,PEARL OF THE ORIENT TWR,1240 ROXAS BLVD ERMITA, MANILA",14.577013,120.979626
58,"UNITS 908 & 33E, PEARL OF THE ORIENT TWR, 1240 RO ERMITA, MANILA",14.577013,120.979626
59,"15F,DE LEON CTR,1151 MH DEL PILAR COR N.S.DE GUIA ERMITA, MANILA",14.5786,120.97969
60,"RM301&302 GLC BLDG 492 T M KALAW ST MANILA ERMITA, MANILA",14.580785,120.979725
61,"R401,402 403&404 GLC BLG, TM KALAW COR A MABINI ERMITA, MANILA",14.58072,120.979736
62,"12F, DE LEON CTR BLG, 1151 MH DEL PILAR COR NUESTR ERMITA, MANILA",14.578489,120.979737
63,"*S9,4F ROYAL BAY TERRACE COND., UN AVENUE ERMITA, MANILA",14.580052,120.979763
64,RM.217 MANUFACTURERS BLDG STA CRUZ MANILA,14.600047,120.979902
65,"6F & 7F MARITIME PLAZA BLG A FLORES COR CORTADA ST ERMITA, MANILA",14.579106,120.980094
66,"4F & 5F, MARITIME PLAZA BLG, A FLORES COR CORTADA ERMITA, MANILA",14.579106,120.980094
67,"S1402-1402A PENTHOUSE, ERMITA CTR BLG 1350 R BLVD ERMITA, MANILA",14.575601,120.980107
68,"S312, 313 AND S1200, ERMITA CTR BLDG, 1350 ROXAS B ERMITA, MANILA",14.575531,120.980141
69,"S311, 3F ERMITA CENTER BLDG 1350 ROXAS BLVD ERMITA, MANILA",14.575527,120.980196
70,"S858A ERMITA CTR BLG #1350 ROXAS BLVD ERMITA, MANILA",14.575527,120.980196
71,"S 600,601 & 608 ERMITA CTR BLDG 1350 ROXAS BLVD ERMITA, MANILA",14.575557,120.980319
72,"S1001&1003A ERMITA CTR BLG, 1350 ROXAS BLVD ERMITA, MANILA",14.575557,120.980319
73,"S1208 ERMITA CTR BLDG 1350 ROXAS BLVD MANILA ERMITA, MANILA",14.575557,120.980319
74,"SUITE 200 A&B ERMITA CTR BLDG ROXAS BLVD ERMITA, MANILA",14.575736,120.980343
75,"SUITE 1202, 12/F, ERMITA CTR BLG, 1350 ROXAS BLVD ERMITA, MANILA",14.575309,120.980362
76,"SUITE 1202-B 12/F ERMITA CTR BLDG 1350 ROXAS BLVD ERMITA, MANILA",14.575309,120.980362
77,"S 601-A, 605-607 ERMITA CTR BLDG 1350 ROXAS BLVD ERMITA, MANILA",14.575591,120.980372
78,"S900,904,907-8&910A ERMITA CTR 1350 ROXAS BLVD ERMITA, MANILA",14.575591,120.980372
79,"S1405 & 1406, ERMITA CENTER BLDG 1350 ROXAS BLVD ERMITA, MANILA",14.575591,120.980372
80,"S500-510A ERMITA CTR 1350 ROXAS BLVD ERMITA, MANILA",14.575591,120.980372
81,"SUITE 910 ERMITA CTR BLDG 1350 ROXAS BLVD ERMITA, MANILA",14.575591,120.980372
82,"ROOM 100 G/F, SAN LUIS TERRACES 638 T M KALAW AVE ERMITA, MANILA",14.581175,120.980426
83,"RM. 601, 6/F, SAN LUIS TERRACES, 638 T.M. KALAW ST ERMITA, MANILA",14.581175,120.980426
84,"SUITE B, 12F, G.E. ANTONINO BLG, TM KALAW COR J.B ERMITA, MANILA",14.581191,120.980495
85,"8/F (WEST SIDE), G.E. ANTONINO BLDG, T.M. KALAW CO ERMITA, MANILA",14.581191,120.980495
86,"16F, G.E. ANTONINO BLDG, T.M. KALAW ST ERMITA, MANILA",14.581191,120.980495
87,"S-E, 12/F G.E. ANTONINO BDG TM KALAW COR J BOCOBO ERMITA, MANILA",14.581191,120.980495
88,"MAGSAYSAY BLDG & GF&2F GE ANTONINO BLDG KALAW ST ERMITA, MANILA",14.581191,120.980495
89,"SUITE D,5F, G.E.ANTONINO BLG,TM KALAW COR J BOCOBO ERMITA, MANILA",14.581191,120.980495
90,"STE B 7/F GE ANTONINO BLDG, TM KALAW ST, ERMITA MANILA",14.581191,120.980495
91,"15/F, G.E. ANTONINO BLG, TM KALAW COR BOCOBO STS ERMITA, MANILA",14.581191,120.980495
92,"SUITE C,11F, G.E. ANTONINO BLG, J BOCOBO COR T M K ERMITA, MANILA",14.581191,120.980495
93,"S-E,6F, G.E. ANTONINO BLG, TM KALAW COR. J BOCOBO ERMITA, MANILA",14.581191,120.980495
94,"16/F, G.E. ANTONINO BLG, T.M. KALAW STREET ERMITA, MANILA",14.581191,120.980495
95,"SUITE A, 11/F, G.E. ANTONINO BLDG, T.M. KALAW ST C ERMITA, MANILA",14.581279,120.980497
96,"SUITE E, 11/F G.E. ANTONIO BLG, TM KALAW STREET ERMITA, MANILA",14.581063,120.980552
97,"RMS 202 & 207, 2/F, S & L BLDG, 1500 ROXAS BLVD ERMITA, MANILA",14.574252,120.980955
98,"RMS. 102, 103 & 104, GF S&L BLDG 1500 ROXAS BLVD. ERMITA, MANILA",14.574252,120.980955
99,"RMS 507 & 300 S & L BLDG 1500 ROXAS BLVD ERMITA, MANILA",14.574252,120.980955
100,"RM 311 3F, S&L BLDG, 1500 ROXAS BLVD. ERMITA, MANILA",14.574252,120.980955
101,"5F & 6F MAGSAYSAY BLDG 520 TM KALAW ST ERMITA, MANILA",14.581199,120.981022
102,"7/F (PORTION), MAGSAYSAY BLDG, 520 T.M. KALAW STRE ERMITA, MANILA",14.581199,120.981022
103,"ROOM 303 & 304 TRAVELLERS LIFE BLG 490 TM KALAW ST ERMITA, MANILA",14.581967,120.981087
104,"2F TRAVELLERS LIFE BLDG. 490 TM KALAW ST. ERMITA, MANILA",14.581967,120.981087
105,"G/F & RMS 304-305 TM KALAW CTR 667 TM KALAW ST ERMITA, MANILA",14.581158,120.981151
106,"OFFICE 17 GF TWO-E COM CTR (TOWER B), BAYSHORE AVE PASAY CITY",14.539839,120.98138
107,"U401 U N SQUARE BLG COR J BOCOBO ST ERMITA, MANILA",14.580365,120.981381
108,"9/F, ONE E-COM CTR BLDG, OCEAN DRIVE COR SUNSET AV PASAY CITY",14.5377,120.981631
109,"UNIT 3-B/C,3F, 1377 A MABINI COR STA MONICA STS ERMITA, MANILA",14.576211,120.981716
110,"UNIT 3A, 3/F, 1377 A. MABINI STREET ERMITA, MANILA",14.576211,120.981716
111,"R103 (RW) TRINITY BLDG, 636 TM KALAW ST ERMITA, MANILA",14.581918,120.981848
112,"R103 (LW) TRINITY BLDG, 636 TM KALAW ST ERMITA, MANILA",14.581918,120.981848
113,"R505, 5F MRS BLDG #1431 A MABINI ST ERMITA, MANILA",14.575789,120.981919
114,UNIT 103- H FIVE E-COM CTR BLDG HARBOR DRIVE MOA PASAY CITY,14.53959,120.982064
115,"GF, 2F,4F & 8F OSM BLDG 479 PEDRO GIL ST ERMITA, MANILA",14.573844,120.982403
116,"16/FL RAMON MAGSAYSAY CTR 1680 ROXAS BLVD ERMITA, MANILA",14.571927,120.982424
117,"6TH FLR-D, RAMON MAGSAYSAY CTR, 1680 ROXAS BLVD MALATE, MANILA",14.571927,120.982424
118,"SECTION F, 17/F, RAMON MAGSAYSAY CENTER, 1680 ROXA MALATE, MANILA",14.571927,120.982424
119,"UNITS B & F, 5F, RAMON MAGSAYSAY CTR BLDG, 1680 RO MALATE, MANILA",14.571927,120.982424
120,"5/F-D, RAMON MAGSAYSAY CENTRE, ROXAS BLVD. ERMITA, MANILA",14.571927,120.982424
121,"SECTIONS A-E, 17/F, RAMON MAGSAYSAY CTR., 1680 RO MALATE, MANILA",14.571927,120.982424
122,"SECTIONS B/C, 18/F, RAMON MAGSAYSAY CTR 1680 ROXAS MALATE, MANILA",14.571928,120.98243
123,"604H-605H, FIVE E-COM CTR, PACIFIC DR, MOA COMPLEX PASAY CITY",14.539335,120.982435
124,"UNITS 1001-1016 (10F) & 1101-1116 (11F), DE LEON C ERMITA, MANILA",14.586074,120.982515
125,"S 24,25 & 32 (GF) AND 38-B (2F), MIDLAND PLAZA CON ERMITA, MANILA",14.576949,120.982545
126,"UNITS 501-503, T M KALAW CTR BLDG, 667 TM KALAW ERMITA, MANILA",14.582553,120.982798
127,"2F(RW) TM KALAW CENTER 667-A TM KALAW AVE ERMITA, MANILA",14.582467,120.982837
128,"R-207 & 208, 2F, T.M. KALAW CTR, 667-A T.M. KALAW ERMITA, MANILA",14.582467,120.982837
129,"5F,FIVE E-COM CTR, HARBOR DR, MALL OF ASIA COMPLEX PASAY CITY",14.5395,120.982876
130,"UNITS 801-816 & 8A, 8/F,DE LEON CTR,1151 M.H. DEL  ERMITA, MANILA",14.582013,120.982885
131,"UNITS 801-816 & 8A, 8/F,DE LEON CTR,1151 M.H. DEL  ERMITA, MANILA",14.582013,120.982885
132,"UNITS 801-816 & 8A, 8/F,DE LEON CTR,1151 M.H. DEL  ERMITA, MANILA",14.582013,120.982885
133,"B1 L5, VICTORIA SPRINGVILLE HTS, PH5, MOLINO, BACOOR CITY, CAVITE",14.388585,120.983064
134,"GF&GF-U-4, ALPHA GRANDVIEW COND 1716 MH DEL PILAR MALATE, MANILA",14.571429,120.983385
135,"3F ENRIQUETA BLDG, 1675-77 A. MABINI MALATE, MANILA",14.572081,120.983644
136,"U307 AND 310 VAREB MANSION 1679 A.MABINI MALATE, MANILA",14.572096,120.983653
137,"UNIT 201 A&B, 2/F, MARBELLA II BLDG, ROXAS BLVD MALATE, MANILA",14.566147,120.984128
138,"5F, FUNCTION RM, MULTIPACIFIC BUS INC BLG, PLAZA S MANILA",14.599512,120.98422
139,B3P2 L2&L3 YOUNG ST MERITVILLE SUBD PULANGLUPA LAS PI?AS,14.472124,120.984314
140,"5F, PARKVIEW PLAZA BLDG, TAFT AVE COR T.M. KALAW S ERMITA, MANILA",14.58407,120.984316
141,RM.901 902 903 L & S BLDG 1414 ROXAS BLVD MANILA,14.56574,120.984459
142,"SEC A&B 14F R MAGSAYSAY CTR 1680 ROXAS BLVD MALATE, MANILA",14.566602,120.984466
143,"9/F, OCEAN BREEZE, CORAL WAY DRIVE, CENTRAL BUSINE PASAY CITY",14.531328,120.984722
144,"1/F, OCEAN BREEZE, CORAL WAY DRIVE, CENTRAL BUSINE PASAY CITY",14.531328,120.984722
145,"UNITS 5A&5B, MA.DANIEL BLDG, 470 SAN ANDRES ST MALATE, MANILA",14.568547,120.984857
146,"4F, MA DANIEL BLG, 470 SN ANDRES COR MH DEL PILAR MALATE, MANILA",14.568547,120.984857
147,"U2A 2F MA DANIEL BLDG 470 SN ANDRES COR DEL PILAR MALATE, MANILA",14.568547,120.984857
148,"3/F, MARBELLA MLA COND., 2071 ROXAS BLVD. MALATE, MANILA",14.565849,120.984871
149,"RCM II 1418 SAN MARCELINO ST ERMITA, MANILA",14.586427,120.985198
150,"2F & 3F, ACACIA PLACE, 1623 J. BOCOBO ST MALATE, MANILA",14.572562,120.9856
151,"U 1, 2, 3, & 4, 888 GATEWAY PLAZA 2126 A MABINI ST ERMITA, MANILA",14.566774,120.985906
152,"2/F, FAIR BUILDING, 2079 MADRE IGNACIA ST MALATE, MANILA",14.567572,120.986479
153,"M1,2,3&4,MALATE CROWN,558 SN ANDRES COR ADRIATICO MALATE, MANILA",14.56885,120.986711
154,"3/F & 4/F FAIR BLG. 2079 MADRE IGNACIA ST.,MALATE MANILA",14.567568,120.986933
155,"GF, 2F & 4F, 2115 MADRE IGNACIA STREET MALATE, MANILA",14.566882,120.986993
156,"4F FLY ACE CORPORATE CENTER 13 CORAL WAY, CENTRAL PASAY CITY",14.531479,120.987658
157,"UNIT 14(PORTION), 6/F, A PLACE BLDG, CORAL WAY, CE PASAY CITY",14.531454,120.98769
158,"8F JEMARSON PLACE BLG 1626 PILAR HIDALGO LIM ST MALATE, MANILA",14.575486,120.98777
159,"12/F, JEMARSONS PLACE, 1626 PILAR HIDALGO LIM ST MALATE, MANILA",14.575486,120.98777
160,"7F JEMARSONS PLCE 1626 P HIDALGO ST MANILA MALATE, MANILA",14.575486,120.98777
161,"9/F, JEMARSON",14.575472,120.987782
162,"1820 LUIS MARIA GURERRO ST MALATE, MANILA",14.572251,120.987849
163,"10F JEMARSONS PLACE #1626 P HIDALGO LIM S MALATE, MANILA",14.575524,120.987879
164,"U601,602&615, ROYAL PLAZA TWIN TWR, 648 REMEDIOS MALATE, MANILA",14.570933,120.987901
165,"U613,ROYAL PLAZA TWIN TWR,648 REMEDIOS ST MALATE, MANILA",14.570933,120.987901
166,"2/F 1517 F AGONCILLO ST ERMITA MANILA ERMITA, MANILA",14.580023,120.987907
167,"G-02&03 ROYAL P TWIN TOWER 648 REMEDIOS & GUERRERO MALATE, MANILA",14.570886,120.987946
168,"S32&33,3F,LEGASPI TWRS 300,ROXAS BLVD COR P OCAMPO MALATE, MANILA",14.559517,120.98796
169,"UNIT NO 714 ROYAL PLAZA TWIN TOWER 648 REMEDIOS ST MALATE, MANILA",14.570914,120.987961
170,"UNIT 604, ROYAL PLAZA TWIN TOWER, 648 REMEDIOS ST MALATE, MANILA",14.570914,120.987961
171,G/F ENRIQUETA BLDG 1675-1677 A.MABINI ST MALATE MANILA,14.563315,120.98799
172,"U17A,3F, LEGASPI TOWERS 300, ROXAS BLVD MALATE, MANILA",14.55947,120.988111
173,"S-311 LEGASPI TOWERS 300, 2600 ROXAS BLVD MALATE, MANILA",14.55947,120.988111
174,"6F(LEFT WING), GHR BLG, 713 REMEDIOS ST MALATE, MANILA",14.571686,120.988416
175,"3F, GHR BLDG, 713 REMEDIOS STREET MALATE, MANILA",14.571686,120.988416
176,"3F, CRYSTAL IEAC BLG, 1381 SAN MARCELINO ST ERMITA, MANILA",14.58001,120.988599
177,"TRANSORIENT MAR II BLDG 1438 AGONCILLO ERMITA, MANILA",14.578813,120.988784
178,"1517 F. AGONCILLO STREET ERMITA, MANILA",14.577596,120.989128
179,"RCM BLDG 1418 SAN MARCELINO STREET ERMITA, MANILA",14.579643,120.989266
180,"RCM BLDG 1418 SAN MARCELINO ST ERMITA, MANILA",14.579643,120.989266
181,RCM BLDG 1418 SAN MARCELINO ERMITA MANILA ,14.579643,120.989266
182,"RCM BLDG 1418 SAN MARCELINO ST ERMITA, MANILA",14.579643,120.989266
183,"RCM BLDG 1418 SAN MARCELINO ST ERMITA, MANILA",14.579643,120.989266
184,"U-D&E(GF),3F AND 5F CRI BLG, 665 PRES. QUIRINO AVE MALATE, MANILA",14.567841,120.989273
185,"5/F,EMI BLG, 1181 LEVERIZA ST COR PRES QUIRINO AVE MALATE, MANILA",14.567736,120.989298
186,"LOADSTAR BLDG 1294 ROMUALDEZ ST PACO, MANILA",14.581929,120.989386
187,"2/F NFWC BLDG 962 ESCODA COR SAN MARCELINO STS. ERMITA, MANILA",14.578253,120.989559
188,"7305 HOLY FAMILY COMPOUND, A. BONIFACIO ST SAN DIONISIO, PARA?AQUE",14.493676,120.9897
189,"2F #1417 GEN LUNA ST PACO, MANILA",14.579751,120.989754
190,"GF & 2F, NCCI SDV BLDG 1511 SN MARCELINO ST ERMITA, MANILA",14.577873,120.989758
191,"2ND FLOOR, 815 REMEDIOS STREET MALATE, MANILA",14.572373,120.989848
192,"1ST TO 3RD FLRS., 1853 TAFT AVENUE MALATE, MANILA",14.572731,120.989953
